Ritchie,74.0
Fernández,102.0
Clark,49.0
Darlow,0.0
Dubravka,143.0
Lejeune,24.0
Lascelles,73.0
Gayle,58.0
Atsu,37.0
Dummett,44.0
Manquillo,65.0
Krafth,37.0
Schär,55.0
Yedlin,26.0
Hayden,73.0
Aarons,0.0
Saint-Maximin,92.0
Almirón,109.0
Joelinton,78.0
Muto,9.0
Watts,1.0
Sean Longstaff,44.0
Hendrick,67.0
Matty Longstaff,27.0
Gillespie,
Murphy,0.0
Wilson,116.0
Fraser,73.0
Lewis,48.0
Anderson,
Langley,
Brewster,0.0
Sharp,57.0
McGoldrick,65.0
Basham,123.0
Fleck,101.0
Stevens,142.0
Moore,3.0
Norwood,98.0
Foderingham,
Baldock,142.0
Jack Robinson,14.0
Egan,133.0
O'Connell,111.0
Lundstram,144.0
Osborn,19.0
McBurnie,86.0
Mousset,84.0
Berge,40.0
Burke,
Freeman,13.0
Ramsdale,126.0
Ampadu,0.0
Bogle,
Lowe,
Jagielka,6.0
Verrips,0.0
Bryan,
Hackford,
Gordon,
Ndiaye,
Brunt,
Maguire,
Jebbison,
Boyes,
Seriki,
Osula,
Walcott,63.0
Minamino,11.0
Long,62.0
Bertrand,75.0
McCarthy,104.0
Oriol Romeu,51.0
Redmond,107.0
Ings,198.0
Stephens,85.0
Armstrong,98.0
Vestergaard,51.0
Ward-Prowse,117.0
Gunn,29.0
Boufal,34.0
Sims,
Walker-Peters,32.0
Bednarek,84.0
Adams,78.0
Valery,18.0
Smallbone,24.0
Vokins,2.0
Obafemi,45.0
Djenepo,40.0
Salisu,
Forster,0.0
Tella,1.0
Diallo,
N'Lundulu,0.0
Ramsay,0.0
Chauke,
Lewis,0.0
Ferry,0.0
Tchaptchet,
Watts,
Jankewitz,0.0
Finnigan,
Lloris,98.0
Rose,47.0
Sissoko,69.0
Alderweireld,97.0
Lamela,65.0
Kane,158.0
Aurier,124.0
Son,169.0
Dier,36.0
Lucas Moura,100.0
Gazzaniga,58.0
Alli,117.0
Davies,41.0
Højbjerg,75.0
Winks,52.0
Sánchez,64.0
Sessegnon,9.0
Bergwijn,43.0
Fernandes,7.0
Tanganga,17.0
Lo Celso,54.0
Skipp,7.0
Ndombele,45.0
Foyth,3.0
Doherty,167.0
Hart,0.0
Carter-Vickers,
Reguilón,
Bale,
Carlos Vinicius,
Rodon,
Devine,
Scarlett,
John,
Maitland-Niles,41.0
Button,0.0
Callum Robinson,33.0
Gibbs,
Robson-Kanu,
Livermore,
Grosicki,
Phillips,
Bartley,
Sawyers,
Hegazi,
Austin,0.0
Zohore,
Johnstone,
Townsend,
Ajayi,
Leko,
Edwards,
Furlong,
Field,
O'Shea,
Harper,
Snodgrass,87.0
Diangana,0.0
Pereira,
Kipre,
Ivanovic,
Gallagher,
Krovinovic,
Grant,
Peltier,
Diaby,
Lonergan,0.0
Diagne,
Yokuslu,
Taylor,
Gardner-Hickman,
King,
Iroegbunam,
Lingard,32.0
Noble,105.0
Martin,20.0
Randolph,3.0
Fabianski,83.0
Ogbonna,81.0
Roberto,18.0
Wilshere,8.0
Cresswell,79.0
Yarmolenko,70.0
Antonio,111.0
Fredericks,74.0
Lanzini,50.0
Felipe Anderson,66.0
Haller,102.0
Masuaku,26.0
Balbuena,40.0
Hugill,
Bowen,44.0
Ajeti,9.0
Rice,105.0
Soucek,41.0
Fornals,93.0
Diop,76.0
Johnson,6.0
Coufal,
Dawson,61.0
Benrahma,
Alves,
Odubeko,
Coventry,0.0
Baptiste,
Trott,
Ruddy,0.0
Moutinho,113.0
Patrício,153.0
Bennett,32.0
Boly,97.0
Coady,118.0
Jiménez,194.0
Saïss,103.0
Jonny,123.0
Bonatini,
Dendoncker,100.0
Traoré,130.0
Neves,97.0
Buur,0.0
Podence,25.0
Kilman,5.0
Vinagre,32.0
Sarkic,
Gibbs-White,11.0
Neto,57.0
Jordao,1.0
Campana,0.0
Fabio Silva,
Marçal,
Vitinha,
Hoever,0.0
Semedo,
Shabani,
Ait Nouri,
Otasowie,0.0
Corbeanu,
Perry,0.0
Cundle,0.0
Richards,
Marques,
Söndergaard,
Cutrone,23.0
Lonwijk,
Willian José,
Bueno,
