player name,id,team,position,GW 1,GW 2,GW 3,GW 4,GW 5,GW 6,GW 7,GW 8,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,GW 16,GW 17,GW 18,GW 19,GW 20,GW 21,GW 22,GW 23,GW 24,GW 25,GW 26,GW 27,GW 28,GW 29,GW 30,GW 31,GW 32,GW 33,GW 34,GW 35,GW 36,GW 37
McCarthy,131,Crystal Palace,Midfielder,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,,0.0,1.0,,1.0,0.0,0.0,2.0,2.0
Benteke,132,Crystal Palace,Forward,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,13.0,2.0,3.0,0.0,2.0,2.0,4.0,2.0,0.0,5.0,0.0,1.0,1.0,2.0,8.0,4.0,7.0,2.0,,2.0,8.0,,2.0,2.0,15.0,7.0,6.0
Kouyaté,133,Crystal Palace,Midfielder,3.0,2.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,6.0,2.0,3.0,,2.0,1.0,,2.0,1.0,4.0,1.0,2.0
Ward,134,Crystal Palace,Defender,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,15.0,0.0,7.0,,2.0,0.0,,1.0,1.0,6.0,0.0,1.0
Kelly,135,Crystal Palace,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Wickham,136,Crystal Palace,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Townsend,137,Crystal Palace,Midfielder,8.0,9.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,4.0,0.0,1.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,6.0,2.0,1.0,,0.0,1.0,,1.0,2.0,3.0,2.0,7.0
Milivojevic,138,Crystal Palace,Midfielder,1.0,1.0,0.0,1.0,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,5.0,5.0,11.0,,2.0,2.0,,2.0,1.0,3.0,0.0,0.0
van Aanholt,139,Crystal Palace,Defender,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,1.0,5.0,2.0,2.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,1.0,0.0,14.0,0.0,5.0,,2.0,0.0,,1.0,0.0,0.0,0.0,0.0
Ayew,140,Crystal Palace,Forward,2.0,5.0,2.0,2.0,0.0,0.0,1.0,8.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,2.0,2.0,5.0,4.0,1.0,2.0,,2.0,2.0,,2.0,1.0,2.0,0.0,1.0
Zaha,141,Crystal Palace,Midfielder,8.0,15.0,1.0,2.0,9.0,13.0,1.0,5.0,0.0,0.0,18.0,2.0,2.0,2.0,1.0,7.0,3.0,3.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,,2.0,2.0,,7.0,2.0,4.0,6.0,2.0
Schlupp,142,Crystal Palace,Midfielder,2.0,7.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,9.0,1.0,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,4.0,4.0,,1.0,1.0,4.0,2.0,1.0
Meyer,143,Crystal Palace,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Riedewald,144,Crystal Palace,Midfielder,0.0,0.0,1.0,1.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,10.0,2.0,2.0,2.0,3.0,1.0,3.0,,2.0,1.0,,1.0,1.0,3.0,0.0,1.0
Ferguson,145,Crystal Palace,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Mitchell,146,Crystal Palace,Defender,6.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,7.0,13.0,1.0
Pierrick,147,Crystal Palace,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Dann,486,Crystal Palace,Defender,7.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,1.0,4.0,0.0,0.0
Eze,489,Crystal Palace,Midfielder,1.0,1.0,2.0,2.0,0.0,1.0,1.0,13.0,2.0,2.0,5.0,7.0,2.0,2.0,1.0,0.0,5.0,3.0,2.0,2.0,11.0,7.0,2.0,2.0,2.0,6.0,1.0,2.0,,2.0,1.0,,7.0,2.0,16.0,10.0,0.0
Woods,522,Crystal Palace,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Inniss,534,Crystal Palace,Defender,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Clyne,577,Crystal Palace,Defender,,,,,0.0,6.0,1.0,2.0,2.0,1.0,5.0,2.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Henderson,578,Crystal Palace,Goalkeeper,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Butland,586,Crystal Palace,Goalkeeper,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0
Mateta,641,Crystal Palace,Forward,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,1.0,8.0,0.0,1.0,0.0,,1.0,0.0,,0.0,1.0,1.0,0.0,0.0
Hannam,675,Crystal Palace,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Rak-Sakyi,688,Crystal Palace,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0
Delph,149,Everton,Midfielder,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Sigurdsson,150,Everton,Midfielder,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,11.0,3.0,7.0,11.0,,3.0,2.0,,1.0,1.0,8.0,1.0,4.0,6.0,11.0,2.0,0.0,,1.0,3.0,15.0,3.0,2.0,5.0,1.0,6.0
Lössl,151,Everton,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coleman,152,Everton,Defender,6.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,2.0,1.0,,1.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,,11.0,6.0,4.0,7.0,1.0,12.0,2.0,6.0
Tosun,153,Everton,Forward,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernard,154,Everton,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Digne,155,Everton,Defender,12.0,1.0,6.0,1.0,7.0,-2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,,2.0,1.0,5.0,1.0,5.0,7.0,14.0,0.0,1.0,,1.0,6.0,1.0,6.0,7.0,14.0,2.0,8.0
